Heading,Body,Star Rating,Date
Constantly canceling flights,Kenya airlines canceled my flight mid my journey. I left Johannesburg Airport after flight time change then I was transiting through Nairobi to Cameroon the flight was canceled so I slept in the airport and the next morning put on another flight which first went to another place before taking me to Cameroon. I'm supposed to fly out on the 7 August and I have a function I'm coordinating in one week and my flight is canceled. The information counter people just don't care about the complaints they send you to different places.,,2024-08-02T17:39:56.000Z
Kenya Airways canceled the flight and…,Kenya Airways canceled the flight and never reimbursed the promised expenses. Sent multiple emails and calls but no action for since 5months,,2024-08-04T20:05:08.000Z
If your thinking of Kenya Airlines...think again..,"If your thinking of using this airline...RUN don't walk away!!! Despite providing everything the airline wanted about my medical issue, they left me at the airport check in for over 3 hours while they continually lied to me that the ""Station Chief"" was coming to see me as to why I was denied boarding. They made multiple reasons why the Station Chief never showed up. There is no ""Station Chief"". I  requested several times that their medical staff be contacted to find out what the issue was. ""We don't do that"". Their staff was totally unresponsive to any request that I asked.They continually lied about when I would receive a refund on my flight. Still haven'treceived it. There probably lying about a refund.",,2024-07-30T21:23:34.000Z
Worst airlines ever,"Worst airlines ever, not friendly staff, no flight communication or updates, flight was delayed for 1 hour from Johannesburg and then for the transfer flight to Dubai has been cancelled and then got delayed by 2 hours 30 minutes.  This airline will not see me again.",,2024-07-29T23:47:06.000Z
We were trying to go to Nampula from Nairobi and never arrived,"We were trying to go from Europe through Nairobi to Nampula and back again. Connections from Nairobi to Nampula every 24 hours. Connection was cancelled and we were brought to a hotel. 24 hours later, we were allowed to enter the plane but it never took off. They did not have a spare part for something they claimed to be a routine procedure. They needed to go to an external airbase to get it. It took them 5 hours to fix and afterwards, they suddenly remembered that the pilots cannot work overtime and only then they started looking for supplement pilots. Of course they failed on this short notice. We did not get any food, flight was supposed to leave on mid-day and we waited for takeoff until 5 pm. After that we tried to cancel the trip and get back home. Nairobi airport was a real mess, I queued many hours and got a flight ticket at 1:50 am next day as they all went home and left only one capable lady in charge. All partner hotels were full and I had to sleep on cardbpoard paper at the airport. Remaining staff had very strong nerves and tried their best, but overall management was very bad. The only good points: we got food vouchers at the airport and the luggage arrived undamaged 1 week after me.That was in April, and in July I still have not seen any cent of compensation for this failed trip which cost me more than 2,300 €. This seems to happen often. Never again with Kenya Airways.",,2024-07-25T09:20:16.000Z
My friend was recently returned to the…,"My friend was recently returned to the UK after visiting SA and had to return via Nairobi by Kenyan Airlines.  OMG. He had 10 hours wait in Nairobi and one of the customer advisors decided to to corn him. He was asked to pay deportation fee of almost £800 which was alleged to be demanded by the SA government 🤔 🙄... He was reluctant to pay by the particular gentleman insisted that he was going to be stranded at the airport if he missed his flight...  remember he had a return ticket to SA😭💔. For peace and obviously under duress and being tired, he asked fir a link to pay and guess what? It was a Kenyan Airlines link and it was a return ticketto London, obviouslyhe paid for someonetotravelto Londonand back. What a con?....When he git back to London,  he tried to contact the airline but hit dead ends...",,2024-07-11T10:25:33.000Z
Terrible Customer Service & Ignored Emails,"Due to the airline ""fuel shortage"" and subsequent cancellation of our flight from Johannesburg, myself and a colleague were advised that we would need a hotel for the evening and were booked on a flight the following day.However, we were also informed by the ground staff that all partner hotels were fully booked and would have to pay for our own hotel and claim the costs back from Kenya Airways, we were given an official letter with contact details of who to make the claim with.This was Mid-April 2024 and I have still had no response from their ""Customer Relations Executive"" Obert Nthite whom I have emailed several times regarding a refund.Their customer service is terrible and I would not recommend this airline to anyone.John Brewer",,2024-07-09T10:05:25.000Z
Claim for First Needs Allowance ignored after delayed luggage,"On a work trip, my luggage did not make it with me to Lilongwe. Apparently there had been an issue with too much luggage for passengers, meaning that every plane coming in only carried luggage from the previous flight. I was told my luggage would arrive the next day on the next flight. I was never contacted by Kenya Airways about any updates on my luggage. Instead, during my high level workshop with government, I had to keep stepping out to check if my luggage had made it yet. When I finally reached them around 4pm I was told my luggage was there, but that I had to pick up the luggage myself. However, the office of Kenya Airways had closed, meaning I could not pick up my luggage that day, but had to wait until the next day. I had to make expenses on buying formal wear to attend the workshop, and made a claim for reimbursement on the 27th of May 2024. A customer officer replied soon saying my claim would be expedited to the Lilongwe office and I would soon get a reply. Since then I have followed up with multiple phone calls and e-mails but I have since not heard a thing. Terrible, terrible service from Kenya Airways. I have had delayed luggage with other airlines, but was always followed up with, been shown how to make my claim for reimbursment of costs and the luggage was delivered to my place of residence as soon as possible. With Kenya Airways, my experience was the absolute opposite. Terrible customer service.",,2024-07-16T12:58:28.000Z
"CDG to HAH, no checked baggage received for all the plane","I had a flight from CDG to HAH transiting in NBO. This was my first flying with this company and I decided to trust them despite all of the bad reviews I can read or heard.The cabin crew was quiet correct. But the plane was small, the pilot was not very reassuring during the taxi phases and on top of that I did not Even get my checked baggage. Knowing that I travelled with an infant, 80% of my luggage where for my son ( diapers, Food, medecines).Nobody on the plane received their bagage, we were tell that the plane was too small.How can this company sells ticket with condition knowing That they dont get the right plane ?",,2024-06-21T21:37:51.000Z
Smooth and pleasant flight,"Very smooth and pleasant return flight between Nairobi and Dar es Salaam. I was constantly kept informed and the phone was promptly answered whenever I called. Great customer service overall. I was particularly impressed by flight attendant Peter Omari who was extremely kind.  The return flight was delayed, but it wasn't the airline's fault. Will certainly fly KQ again!",,2024-04-30T21:18:57.000Z
