Title,Image,Avatar_URL,crvsd,ui_header_link,default,phmbo,phmbo1,dmrsr,dmrsr2,dmrsr3,qwuub_URL,qwuub,tehyy,xcjrc,Rating
"Recently I travelled for business from Cape Town to Entebbe (Uganda) with a layover in Nairobi (Kenya) return. On the flight to Uganda we flew in a Embraer 190 which is a smaller plane with 2 seats on each side (economy class) and on the return flight we flew with a larger Boeing 737 which had 3 seats on each side. Overall the food and drinks selection in economy class on both flights was good and filling enough for me, and the staff were very friendly and helpful. I also had more than enough legroom on each of the flights and the seats were comfortable. The in-flight entertainment in the Embraer was limited with 2 movies and a couple of TV shows (random bundled episodes of different shows per genre) with some music also available. On the Boeing there was a lot more content available however the sound quality was bad - I could barely hear even with the sound on its loudest setting. On our flight to Uganda we had a stop at Harry Mwanga Nkumbula Airport (Zambia) at which point I was automatically upgraded, for free, to Business Class. As you would expect, the seats were a bit more comfortable and there was more legroom available. Also, the selection of food and drinks was much better. I am not sure if I would pay the amount they are charging for Business Class, however I enjoyed the experience. Overall I am quite happy with my experience and will definitely fly with them again.",https://media-cdn.tripadvisor.com/media/photo-t/22/df/a3/7c/dewald-r.jpg,https://www.tripadvisor.com/Profile/dewaldr,Dewald R wrote a review Nov 2022,Dewald R,"Cape Town Central, South Africa",2336 contributions,198 helpful votes,Cape Town Central - Entebbe,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r870188817-Kenya_Airways-World.html,Cape Town to Uganda via Nairobi and Back,Date of travel: September 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_40
I want to thanks to Jane for her excellent service in my flight connection from Kenya to Cape town. Jane was excellent person. my flight was on the 29 Nov at 7 am with the connection to livingstone then arriving to Cape town.,https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e4/a9/default-avatar-2020-50.jpg,https://www.tripadvisor.com/Profile/Alien555,Jose wrote a review Nov 2022,Jose,,1 contribution,,New York City - Cape Town Central,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r870160913-Kenya_Airways-World.html,I wanted to try becuase I read the reviews but it was really nice airline,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_50
not a bad airline to fly with could do with a better selection of movies and music but in general good to fly with short and long haul,https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/ee/db/default-avatar-2020-10.jpg,https://www.tripadvisor.com/Profile/eddiepB8777IQ,Eddie P wrote a review Nov 2022,Eddie P,"Cork, Ireland",1 contribution,,London - Nairobi,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r870115967-Kenya_Airways-World.html,kenya airways review,Date of travel: May 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_40
"Dear Kenya Airways ,

I am on my way to Zanzibar from Bangui, with an upgraded flight to *sky priority*. The flight plan was Bangui-Nairobi (27/11, with a technical stop in Douala). We choose to book confortable Crowne Plaza in nice Nairobi in between flights. Then Nairobi-Zanzibar (28/11, ETA 9H30).

Arriving in Douala around 2pm we stayed grounded.
First we got explained that there was not enough jeta1.
Then, there was a technical issue and engineer needed instructions from Nairobi.
Then, he got the instructions but he missed a spare part.

We were disembarked around 5pm : begin of the nightmare. we had to wait till 6pm in a non AC room. Without any words of the crew or a glass of water.

Then, it was so disorganized for the passengers without CEMAC passports to get a visa : it took around 1.5 hours. I asked if we could already go and ask to the Kenya Airway office to which hotel we should go. The crew answered that we had to wait for all the passengers.

Finally the guy at the Kenya Airways office told us that we could go to Akwa Palace or Bano Palace. And that the spare part will not come before 2 pm the day after so that we ll not depart before 4pm the day after !

Then we finally got on a bus with a driver that yell on us (because nobody really knew where to go). We decided to took a taxi with my husband and go directly to Akwa Pamace (with nobody yelling at us during the transfer).

Arriving at Akwa Palace : the hotel told us that we should go to Bano Palace. Arriving to Bano ""Palace"" : it was so dirty, smelling bad and food was so bad... tje sheets were dirty. We got a second room that smells something like... cigarret mixed with humidity. Plus AC didn't work properly. Plus we got only one bath towel. No water in the room. It was so dirty that we went outside for dinner.

Anyway after all these I tried to call Kenya Airway' client support. I got an email during the night saying that our flight from Nairobi to Zanzibar was the 30/11 at 00.30 ... and our flight from Douala to Nairobi the 30/11 at... 20pm. PM. So we will do Douala-Nairobi after Nairobi Zanzibar, yep... everything is possible with Kenya Airways.
Wifi in hotel did not worked properly. From 4 in the morning I tried to reach via call & whatsapp... we also went to the airport around 8 am. We waited till 10.30 am before seeing someone from Kenya Airways. they were surprised that Akwa Palace refused us. Obviously it was too late for the Rwandair flight that could have bring us to Nairobi.

Around 1.30 pm we finally got a rebooking proposition (yep, we waited from 8 am to 1.30 pm in a non AC' airport). And remember, I did not sleep all night before that.

The proposition is a 21hours journey (3 flights) with Ethiopian Airline. In economic class, with refund (which I have to claim for! and perhaps you will refund within 21 to 30 days...). I asked to be booked in first class : refused. I asked to Ethipian to pay for the upgrade : too late!

Boarding tome : 1.20 pm. It s 2.30 pm and we are still waiting without any explanation of course.

So, guys, flying with Kenya Airways and you get :

- Degraded from sky priority to economic.
- Lost hotel reservations in Nairobi and Zanzibar.
- Lost 2 tours reservations in Zanzibar.
- Loosing time to make the claim.
- Loosing at least 2.5 days of Holiday.

IS THIS WHAT YOU CALL PREMIER WORLD ?",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/f2/b8/default-avatar-2020-26.jpg,https://www.tripadvisor.com/Profile/VirginieAn,Virg A wrote a review Nov 2022,Virg A,,6 contributions,,Bangui - Zanzibar Island,Africa,Business Class,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r869990160-Kenya_Airways-World.html,Horrible experience,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"Absolutely appalling airline, never ever use it. It is incredibly unreliable and has terrible customer service. I was about to travel from Lilongwe in Malawi to Entebbe in Uganda via Nairobi, only to discover after a 5 hour drive to Lilongwe airport that the flight was cancelled because of a pilots' strike. This was at midnight. Received no email, nothing. Following day tried to get on another flight, could not; in the end the company i was working for had to book a new flight with Ethiopian following day. On my return flight from Entebbe two weeks later, my Kenya Airways flight from Entebbe was late and I missed my connection to Lilongwe. The airline then put me on different flight the following day and I had to spend one night in airport hotel in Nairobi. We had to wait three hours in airport terminal in Nairobi before they could be bothered to find our bags in the hold and we could be transferred to the hotel. Customer service was terrible. they could not even be bothered to bring us water. Avoid this appalling airline at all costs.  This appalling service while they charge a fortune for flights.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e7/3d/default-avatar-2020-55.jpg,https://www.tripadvisor.com/Profile/H5647LLjasonm,Jason M wrote a review Nov 2022,Jason M,"London, United Kingdom",22 contributions,6 helpful votes,Entebbe - Lilongwe,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r869864651-Kenya_Airways-World.html,Avoid this airline like a bargepole,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"We flew from Heathrow to Nairobi on our way to zanzibar. The plane was a Boeing 787 Dreamliner and was very comfy. We had inflight entertainment with movies, tv programs and music. We were given feee headphone and meals and drinks were also included. The flight crew were all very friendly and provided a good service. I would definitely recommend Kenya airways. They were on time, good value for money and easy to book with.",https://media-cdn.tripadvisor.com/media/photo-t/01/ef/33/91/molly75.jpg,https://www.tripadvisor.com/Profile/molly75,molly75 wrote a review Nov 2022,molly75,lincolnshire,705 contributions,324 helpful votes,London - Nairobi,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r869682581-Kenya_Airways-World.html,Much better than expected,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_50
"Was travling from Kenya to South Africa last week. While i was heading to the boarding, the Airline Gate Employee , told me at 12:15 you are not cleared to take the flight to Johannesburg because you don't have a return ticket on our airline.

I have explained to him, I have a valid Visa to SA, I have a return ticket on another Airline ( and the fact that i already changed my return ticket because of the airline strike! last week) He didn't react and said well i know.

I told him please call me the Manager , he told me i will call him for you. Unfortunately he was pretending that he calls him until the plane took off and then he called the manager after I told him I will make a complain.

Now I have missed an important meeting today because of a decision an operator took with out referring to his manager. An I have waited for 9 hours in the Lounge for Clearance & Next Flight…

Funny thing, they said for me to travel , they have to get a clearance on my return flight ticket, but they never took a copy of my ticket. So they were lying...",https://media-cdn.tripadvisor.com/media/photo-t/01/2e/70/55/avatar028.jpg,https://www.tripadvisor.com/Profile/moustafae553,Moustafa E wrote a review Nov 2022,Moustafa E,,9 contributions,5 helpful votes,Nairobi - Johannesburg,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r868854169-Kenya_Airways-World.html,Terrible Airline,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"After reading the reviews on here, I was prepared for the worst, and I have to say the website was difficult to deal with. Very hard to reserve a seat ahead of time, even though we were paying for extra legroom. That being said, everything else went fine. No problems with delays or luggage or anything else. I've flown all over the world, and they were comparable to any other airline I've flown on. Food was about par for a long flight.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/de/e7/default-avatar-2020-37.jpg,https://www.tripadvisor.com/Profile/JimZ926,Jim Z wrote a review Nov 2022,Jim Z,"New York City, New York",4 contributions,,New York City - Nairobi,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r868816901-Kenya_Airways-World.html,Good experience,Date of travel: October 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_40
"Kenya Airways is very disorganzied, first of all they NEVER answer their phones. Why have numbers on the internet if you are. not going to answer it? What is the use of having a whatsapp line if you NEVER respond and why do you have a website with options that aren't functional? If I am not in Kenya I cannot get assistance unless I go to the Kenya Airways office at the airport and thats more time and money for me for something that I could get via email. I have had bad experience with this airline and I would NOT recommend it! The staff at the boarding gate in Kenya Airport was very rude as well.",https://media-cdn.tripadvisor.com/media/photo-t/26/e6/4d/82/missludo.jpg,https://www.tripadvisor.com/Profile/missludo,Miss Ludo wrote a review Nov 2022,Miss Ludo,"Xi'an, China",1 contribution,,Johannesburg - Guangzhou,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r868789732-Kenya_Airways-World.html,HORRIBLE CUSTOMER SERVICE,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"I travelled to London on July 10th ON KQ100 with 3 children and paid for an upgrade to comfort seats upon check in for all of us. We were not allocated or sat on comfort seats. The air hostesses (Lucy and Marcel) agreed we had not been given the seats we paid for and Marcel logged a complaint onboard immediately. The same happened to the lady sat in front of me. I also noted this on the survey post flight. To date I have only been contacted after chasing each time to say 'we are looking into this' and no refund has been issued. I have contacted KQ through email, phone and instagram customer support. KQ recently made a big deal out of customer service week, however this is not being perceived by actual customers. We are now in November and I'm still waiting for contact and a refund.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/ee/db/default-avatar-2020-10.jpg,https://www.tripadvisor.com/Profile/553binis,B S wrote a review Nov 2022,B S,,2 contributions,,Nairobi - London,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r868523825-Kenya_Airways-World.html,Don't make a big deal of customer service week if you're not going to follow through KQ.,Date of travel: July 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
